ts,inverter,code,meaning
2018-06-11 06:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 06:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 06:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 06:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 06:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 06:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 06:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 06:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 06:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 07:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 08:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 09:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 09:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2018-06-11 09:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
